"artist_name";"artist_id";"album_id";"album_release_date";"album_release_year";"danceability";"energy";"key";"loudness";"mode";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"track_id";"time_signature";"duration_ms";"explicit";"track_name";"track_number";"track_uri";"album_name";"key_name";"mode_name";"key_mode"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"2fenSS68JI1h4Fo296JfGr";"2020-07-24";2020;0,662;0,181;8;-15,065;1;0,0415;0,966;3,86e-06;0,133;0,429;118,819;"6MWoRt97mnSTXZhu3ggi9C";4;220042;FALSE;"hoax";16;"spotify:track:6MWoRt97mnSTXZhu3ggi9C";"folklore";"G#";"major";"G# major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,765;0,348;0;-6,963;1;0,0579;0,764;1,01e-05;0,108;0,171;140,015;"2b4dRZGflAQT7ZbFwOclyP";4;210251;FALSE;"the 1";1;"spotify:track:2b4dRZGflAQT7ZbFwOclyP";"folklore";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,613;0,581;0;-8,588;0;0,0424;0,537;0,000345;0,25;0,551;130,033;"4LEK9rD7TWIG4FCL1s27XC";4;239560;FALSE;"cardigan";2;"spotify:track:4LEK9rD7TWIG4FCL1s27XC";"folklore";"C";"minor";"C minor"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,684;0,661;7;-8,507;1;0,0407;0,473;0,00215;0,109;0,713;147,909;"2MnzNhe3pPExotEbZpeXnh";4;230999;FALSE;"the last great american dynasty";3;"spotify:track:2MnzNhe3pPExotEbZpeXnh";"folklore";"G";"major";"G major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,298;0,38;6;-8,426;1;0,0287;0,778;5,62e-05;0,11;0,152;75,602;"59HA1SBz1DPCCvdDeILV7E";4;285634;FALSE;"exile (feat. Bon Iver)";4;"spotify:track:59HA1SBz1DPCCvdDeILV7E";"folklore";"F#";"major";"F# major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,456;0,263;0;-10,63;1;0,0332;0,806;0;0,0749;0,111;129,86;"1DnpjwTbSwV2V6O4PABMjW";4;255893;FALSE;"my tears ricochet";5;"spotify:track:1DnpjwTbSwV2V6O4PABMjW";"folklore";"C";"major";"C major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,553;0,413;2;-10,037;1;0,0334;0,687;2,33e-06;0,0594;0,379;110,107;"5L4sr95Nw2hcJ7nQh7ksUN";4;208977;FALSE;"mirrorball";6;"spotify:track:5L4sr95Nw2hcJ7nQh7ksUN";"folklore";"D";"major";"D major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,596;0,488;4;-10,769;1;0,0274;0,9;2,7e-05;0,091;0,415;94,926;"79qUTP8YabHY2asciytR4o";4;208906;FALSE;"seven";7;"spotify:track:79qUTP8YabHY2asciytR4o";"folklore";"E";"major";"E major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,532;0,623;5;-9,208;1;0,0331;0,538;7,28e-05;0,0925;0,403;89,937;"1X2cYhcDMfDtiRIYHZCpQu";4;261922;FALSE;"august";8;"spotify:track:1X2cYhcDMfDtiRIYHZCpQu";"folklore";"F";"major";"F major"
"Taylor Swift";"06HL4z0CvFAxyc27GXpf02";"0xS0iOtxQRoJvfcFcJA5Gv";"2020-07-24";2020;0,515;0,476;9;-9,843;1;0,0328;0,314;4,74e-05;0,171;0,412;135,886;"0j5renyfv1ChCoe1ca7bDP";4;195097;FALSE;"this is me trying";9;"spotify:track:0j5renyfv1ChCoe1ca7bDP";"folklore";"A";"major";"A major"
